titles,category
 Playlist  매일이 주말이라면 좋겠어   포근포근 이불 속에서 듣는 감성 팝   warm   cozy pop songs,music
Dreamers  Music from the FIFA World Cup Qatar      Official Soundtrack ,music
하루 종일 듣기 좋은 노래   일할때 듣기좋은 발라드 추천 광고없는 노래모음  김범수  임창정  박효신 성시경  백지영  더원 태연 박명수 에일리 찬열  펀치  다비치 로꼬  펀치,music
          이 노래 뭐야   힙한 인스타 감성 카페에서 흘러나오는 분위기 좋은 팝송 플리  feat  텐퍼센트커피 ,music
 일할 때 듣기 좋은 음악 일  공부  집중에 도움을 주는 재즈피아노 음악  l 카페음악  매장음악 l                                  ,music
즐겁게 틀어두기 좋은 활동음악    통통 기분 좋은 리듬과 함께,music
미소와 함께하는 온화한 아침 음악   하루를 기분 좋게 시작해요,music
  카페사장님들  오늘은 이 음악 틀어요               l 카페재즈  매장음악 l                                                ,music
JTBC   대통령 자막 왜곡 보도    국민의힘  JTBC 고발    오전LIVE ,music
하루 종일 듣기 좋은 노래   일할때 듣기좋은 발라드 추천 광고없는 노래모음   김범수  임창정  박효신 성시경  백지영  더원 태연 박명수 에일리 찬열  펀치 다비치 로꼬  펀치,music
달달하게 아침을 열어주는 드라이브곡 재업 ,music
           화창한 주말 아침 집돌이 집순이를 위한 기분 좋은 팝송,music
           완전한 겨울  재즈가 내리는 맨해튼을 거닐며   Winter Jazz,music
 Playlist  오늘은 무조건 내 기분이 좋아야겠어       시끄럽지 않아서 아무생각 없이 틀어놓으면 극락가는 국내 노래모음 플레이리스트,music
  스타벅스 매장음악   실시간 음악 매장음악 광고없는          BGM   STARBUCKS Soothing Jazz for work and study,music
조용히 혼자 있고 싶을 때 듣는 감성음악  조용한팝송  광고없는팝송   Relaxing Pop Music  Soft Pop Music       LIVE,music
겨울에 듣기 좋은 클래식 음악  눈 오는 날 설레는 겨울   포근한 감성  힐링 클래식  명곡 베스트  Classical Music for Winter  Relaxing music,music
아이유 Love wins all 음악을 제거했더니    ,music
음악의 신   SEVENTEEN  뮤직뱅크 Music Bank    KBS        방송,music
 광고없는 메들리  신나는 아이돌 관광 디스코 뽕짝 메들리  음악의 신  꽃  FANCY  BATTER UP  ETA  IDOL  가수  김홍남  많이  사랑해주세요 ,music
신나는 최고의 댄스곡모음  광고없는 노래듣기  타임머신타고 출발   댄스곡    playlist    노래모음,music
평화로운 겨울  피아노 음악의 따스한 감동   Feel Good   HAPPINESS MELODY,music
잔잔하고 평화로운 카페 피아노 음악 l GRASS COTTON ,music
         질리도록 듣는 히트곡엔 그 이유가 있다                                                                      ,music
           아침에 이거 들으면 행복지수 올라감  은은하게 기분이 좋아지는 데일리팝,music
 Playlist  한 번 들어봐  아마 거의 다 띵곡일걸 l OST 노래모음 플레이리스트 광고없음 매장음악 노동요   ,music
아침에 듣기 좋은 상쾌한 팝송 모음   도입부 부터 좋은  적당히 리듬타는 노래 모음,music
 스타벅스 매장음악   중간광고없음      Starbucks Jazz Piano Music   카페음악  매장음악  라운지음악,music
힘들고 지칠때 위로가 되어주는 노래,music
