titles,category,predict,OX
kGoldn Mood Lyrics ft Iann Dior HOURS,music,"['game', 'sports']",X
HOUR GAMING MUSIC MIX NCS DUBSTEP TRAP EDM HOURS of NoCopyrightSounds Music,music,"['game', 'sports']",X
Top NoCopyRightSounds Best of NCS Most Viewed Songs The Best of All Time,music,"['sports', 'cook']",X
Oblivion Music Ambience Towns Hours,music,"['nature', 'game']",X
Minute Timer Calm Music for Relaxing,music,"['nature', 'pets']",X
NCS Year Mix Hours NCS Copyright Free Music,music,"['nature', 'sports']",X
마인크래프트 태어나다 처음 해보다,game,"['cook', 'sports']",X
슈퍼마리오 브라더스 다정 거대 굼바 거대 엉금엉금 스네이크 어렵다,game,"['cook', 'nature']",X
FX,sports,"['cook', 'nature']",X
역사상 황당하다 어이없다 죽음 Top,sports,"['game', 'pets']",X
중국산 배터리 어떻다 포장 기대다,sports,"['game', 'pets']",X
LIVE 천만 조직 자유 마을 특별 방송,cook,"['sports', 'game']",X
Videos for Cats Squirrels and Birds Mania HOURS Cat TV,pets,"['nature', 'music']",X
Do you have any pets 이라도 매일 들다 외우다 영어 일상 영어 듣기 초보 영어 초보 영어 회화 영어 듣기 영어 쉐도,pets,"['cook', 'nature']",X
소리 없이 기회 엿보다 우승 경쟁 기트 챔피언십 Ep,pets,"['sports', 'game']",X
속보 신세계 건설 난리 나다,pets,"['cook', 'music']",X
긴급 서울 경찰청 방금 배현진 피습 충격 브리핑 습격 전격 압수수색 휴대폰 PC 압수 이재명 난리 나다 진성호 융단 폭격,pets,"['sports', 'game']",X
이재명 지지 집회 이유 추적 배현진 의원 사건 습격 주거지 압수수색 휴대폰 PC 압수,pets,"['sports', 'game']",X
월요일 LIVE 뉴스 수산 지열 김진애 언론 특집 김유진 장인수 아시안컵 특집 이상윤 박문성,nature,"['cook', 'sports']",X
뉴스 김성회 오찬 예정 갈등 봉합,nature,"['music', 'cook']",X
특집 정치 현안 직설 윤석열 대통령 부부 김건희 명품 언급 크다 이유 순간 모든 끝나다 최재영 목사 김종대 의원,nature,"['cook', 'music']",X
